,Tournament,Season,Year,Round
0,American,Fall,2019,227.0
1,American,Fall,2024,129.0
2,American,Spring,2024,70.0
3,American,Spring,2025,83.0
4,American,Spring,2026,96.0
5,Amherst,Fall,2019,131.0
6,Amherst,Spring,2021,45.0
7,Amherst,Spring,2026,146.0
8,Bates,Fall,2023,24.0
9,Bentley,Fall,2024,23.0
10,Binghamton University,Fall,2019,65.0
11,Binghamton University,Fall,2021,18.0
12,Binghamton University,Fall,2022,25.0
13,Binghamton University,Fall,2023,65.0
14,Binghamton University,Fall,2025,44.0
15,Boston,Fall,2023,238.0
16,Boston,Fall,2025,250.0
17,Boston,Spring,2022,59.0
18,Boston,Spring,2023,38.0
19,Boston,Spring,2024,95.0
20,Boston,Spring,2025,106.0
21,Boston,Spring,2026,128.0
22,Brandeis,Fall,2022,54.0
23,Brandeis,Fall,2024,78.0
24,Brandeis,Spring,2022,82.0
25,Brandeis,Spring,2026,132.0
26,Brown,Fall,2019,159.0
27,Brown,Fall,2024,116.0
28,Brown,Fall,2025,178.0
29,Brown,Spring,2022,143.0
30,Brown,Spring,2023,76.0
31,Brown,Spring,2024,65.0
32,Brown,Spring,2025,98.0
33,Brown,Spring,2026,92.0
34,Brown + Wesleyan,Fall,2023,122.0
35,CUNY,Fall,2019,73.0
36,CUNY,Spring,2020,83.0
37,CUNY + Maryland,Fall,2020,48.0
38,Carnegie Mellon,Fall,2024,29.0
39,Carnegie Mellon,Fall,2025,34.0
40,Carnegie Mellon,Spring,2020,58.0
41,Carnegie Mellon,Spring,2021,54.0
42,Carnegie Mellon,Spring,2023,38.0
43,Carnegie Mellon,Spring,2026,44.0
44,Columbia,Fall,2020,29.0
45,Columbia,Fall,2022,205.0
46,Columbia,Fall,2023,131.0
47,Columbia,Fall,2024,113.0
48,Columbia,Spring,2026,56.0
49,Columbia + Swarthmore,Spring,2020,20.0
50,Dartmouth,Spring,2021,111.0
51,Drexel,Fall,2023,45.0
52,Drexel,Fall,2024,47.0
53,Drexel,Spring,2025,40.0
54,Drexel,Spring,2026,59.0
55,Fordham,Fall,2022,140.0
56,Fordham,Fall,2023,184.0
57,Fordham,Fall,2024,175.0
58,Fordham,Fall,2025,175.0
59,George Washington,Fall,2019,112.0
60,George Washington,Fall,2022,137.0
61,George Washington,Fall,2023,151.0
62,George Washington,Fall,2024,142.0
63,George Washington,Spring,2020,97.0
64,George Washington,Spring,2021,50.0
65,George Washington,Spring,2022,50.0
66,George Washington,Spring,2023,110.0
67,George Washington,Spring,2025,89.0
68,George Washington,Spring,2026,98.0
69,Georgetown,Fall,2022,55.0
70,Georgetown,Fall,2023,60.0
71,Georgetown,Fall,2024,94.0
72,Georgetown,Spring,2022,42.0
73,Georgetown,Spring,2023,83.0
74,Georgetown,Spring,2024,93.0
75,Georgetown,Spring,2025,49.0
76,Georgetown,Spring,2026,114.0
77,Harvard,Fall,2025,272.0
78,Johns Hopkins,Fall,2019,121.0
79,Johns Hopkins,Fall,2022,81.0
80,Johns Hopkins,Fall,2024,65.0
81,Johns Hopkins,Fall,2025,105.0
82,Johns Hopkins,Spring,2024,70.0
83,Johns Hopkins,Spring,2025,29.0
84,Johns Hopkins + American,Fall,2021,40.0
85,Maryland,Fall,2019,120.0
86,Maryland,Fall,2022,40.0
87,Maryland,Fall,2023,67.0
88,Maryland,Fall,2024,41.0
89,Maryland,Spring,2022,30.0
90,Maryland,Spring,2023,30.0
91,Maryland,Spring,2024,37.0
92,Maryland,Spring,2025,58.0
93,Maryland,Spring,2026,28.0
94,Maryland + Boston University,Spring,2021,212.0
95,NYU,Fall,2024,126.0
96,NYU,Spring,2022,52.0
97,NYU,Spring,2023,217.0
98,NYU,Spring,2024,74.0
99,NYU + Washington University,Spring,2021,50.0
100,Northeastern,Fall,2022,201.0
101,Northeastern,Fall,2023,195.0
102,Northeastern,Fall,2024,166.0
103,Northeastern,Spring,2022,136.0
104,Northeastern,Spring,2024,45.0
105,Northeastern,Spring,2026,128.0
106,Northeastern + Boston College,Fall,2021,48.0
107,Penn,Fall,2019,126.0
108,Penn,Spring,2024,99.0
109,Penn,Spring,2026,144.0
110,Princeton,Spring,2023,212.0
111,Princeton,Spring,2024,216.0
112,Princeton,Spring,2025,261.0
113,Princeton,Spring,2026,204.0
114,Princeton + Northeastern + Bates,Spring,2021,128.0
115,Rutgers,Spring,2020,204.0
116,Rutgers,Spring,2024,6.0
117,Rutgers,Spring,2026,108.0
118,Smith,Fall,2019,95.0
119,Smith,Fall,2022,26.0
120,Smith,Spring,2022,28.0
121,Smith + Columbia,Fall,2021,88.0
122,Swarthmore,Fall,2019,178.0
123,Swarthmore,Fall,2022,77.0
124,Swarthmore,Fall,2024,93.0
125,Swarthmore,Fall,2025,42.0
126,Swarthmore,Spring,2020,105.0
127,Swarthmore,Spring,2022,96.0
128,Swarthmore,Spring,2023,74.0
129,Swarthmore,Spring,2024,40.0
130,Swarthmore,Spring,2025,60.0
131,Swarthmore,Spring,2026,72.0
132,Temple,Spring,2024,82.0
133,Temple + Wesleyan,Fall,2021,84.0
134,The College of New Jersey,Fall,2019,50.0
135,The College of New Jersey,Spring,2023,39.0
136,Tufts,Fall,2025,76.0
137,Tufts,Spring,2020,175.0
138,Tufts,Spring,2025,1.0
139,University of Chicago,Spring,2023,45.0
140,University of Chicago,Spring,2025,89.0
141,University of Chicago + Northeastern,Spring,2021,62.0
142,University of Delaware,Spring,2026,34.0
143,University of Massachusetts + Amherst,Spring,2025,94.0
144,University of Massachusetts + Amherst,Spring,2026,55.0
145,University of Pittsburgh,Fall,2019,50.0
146,University of Pittsburgh,Fall,2022,48.0
147,University of Pittsburgh,Fall,2024,38.0
148,University of Pittsburgh,Fall,2025,40.0
149,University of Pittsburgh + Carnegie Mellon,Spring,2022,35.0
150,University of Virginia,Fall,2022,35.0
151,University of Virginia,Fall,2023,52.0
152,University of Virginia,Fall,2024,45.0
153,University of Virginia,Fall,2025,76.0
154,University of Virginia,Spring,2020,80.0
